Churn,AccountWeeks,ContractRenewal,DataPlan,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee
No,78,1,0,0.0,0,208.9,119,57.0,12.62
Yes,55,0,0,0.32,1,191.9,91,58.2,12.81
Yes,92,0,0,0.21,2,130.7,113,47.1,13.03
No,129,1,1,1.59,2,119.6,104,60.9,13.94
No,18,1,0,0.0,1,273.6,93,57.0,5.73
No,161,0,0,0.0,2,156.1,114,42.0,9.02
No,93,1,1,2.16,2,178.7,134,67.6,8.93
No,144,1,0,0.0,2,177.5,93,55.0,14.37
Yes,75,0,0,0.0,4,211.3,61,45.0,5.28
No,95,1,0,0.0,1,175.2,91,51.0,12.22
No,126,1,1,3.4,3,114.3,102,70.0,9.52
No,124,1,1,2.03,1,251.4,104,82.3,11.26
Yes,93,0,0,0.0,1,216.9,61,55.0,10.37
No,109,0,1,2.51,0,217.2,138,75.1,7.28
No,80,1,0,0.0,0,206.3,97,49.0,7.75
No,41,1,0,0.19,1,159.3,66,39.9,6.3
No,136,1,1,3.08,2,143.1,88,75.8,11.83
Yes,92,1,0,0.0,3,154.0,122,55.0,16.49
No,143,1,1,3.13,1,186.6,69,82.3,11.1
Yes,118,1,1,2.59,5,170.8,114,71.9,9.98
No,193,1,1,3.32,1,124.0,102,72.2,10.15
No,73,1,0,0.0,3,198.3,94,58.0,13.97
No,62,1,0,0.0,2,172.8,101,47.0,10.24
No,30,1,1,1.78,0,217.4,74,73.8,10.69
Yes,60,0,1,3.78,0,265.9,113,101.8,10.79
No,148,1,1,4.73,1,93.6,137,80.3,9.69
No,96,1,0,0.0,2,98.2,100,43.0,15.36
No,52,1,0,0.35,2,214.7,68,53.5,7.93
No,87,1,0,0.0,1,168.2,92,48.0,11.24
No,41,1,0,0.21,3,202.9,97,50.1,7.69
No,112,1,0,0.0,1,261.4,108,58.0,7.73
Yes,88,1,0,0.0,4,73.3,86,27.0,8.07
No,122,1,1,2.48,7,253.7,84,87.8,11.46
No,61,1,0,0.0,2,45.0,108,21.0,7.57
No,87,1,0,0.38,1,231.3,105,57.8,8.59
No,176,1,0,0.25,2,47.4,125,25.5,8.39
No,30,1,0,0.0,0,227.4,88,55.0,9.13
No,95,1,1,3.21,0,40.9,126,51.1,6.67
No,46,1,0,0.0,2,124.8,133,35.0,7.87
No,100,0,0,0.19,0,68.5,110,42.9,16.86
No,47,1,1,2.11,2,163.5,77,67.1,10.16
No,77,1,0,0.0,2,163.0,112,47.0,10.96
No,98,1,1,2.89,2,213.7,61,86.9,12.65
No,125,1,1,1.46,1,201.3,117,52.6,2.11
No,67,1,0,0.22,4,310.4,97,61.2,3.33
No,194,1,0,0.0,1,48.4,101,33.0,14.06
No,128,1,1,3.78,1,171.2,88,79.8,7.29
No,190,1,1,2.3,0,166.5,93,67.0,9.15
No,165,1,0,0.0,0,216.6,126,54.0,9.54
No,59,1,0,0.0,2,107.8,113,37.0,10.83
No,47,1,1,2.11,1,141.3,94,60.1,8.4
No,150,1,1,1.78,0,209.9,77,67.8,7.9
Yes,152,0,1,3.83,9,237.5,120,100.3,12.67
No,26,1,0,0.0,3,234.5,109,59.0,10.83
No,79,1,1,3.29,3,103.1,90,71.9,12.15
No,95,1,1,3.21,1,129.5,106,76.1,12.45
Yes,69,0,0,0.0,2,279.8,90,69.0,12.44
Yes,95,0,1,2.78,5,136.8,91,68.8,10.04
No,31,1,1,1.59,0,100.1,54,53.9,12.32
No,121,1,1,2.73,4,237.1,63,85.3,10.28
Yes,111,1,0,0.0,4,172.8,58,45.0,9.16
No,157,1,0,0.0,2,224.5,111,56.0,10.04
Yes,44,1,0,0.21,3,288.1,112,73.1,12.9
No,61,0,0,0.0,2,78.2,103,30.0,9.8
No,65,1,0,0.0,2,148.7,80,48.0,12.95
No,74,1,1,3.54,2,194.6,84,79.4,6.0
No,123,1,0,0.0,0,159.5,77,53.0,15.19
No,58,1,1,2.57,1,194.5,110,77.7,10.69
Yes,74,1,0,0.0,2,174.1,96,51.0,12.56
No,125,1,0,0.39,2,131.8,97,38.9,6.84
No,80,1,0,0.0,1,160.6,103,48.0,11.85
No,53,1,1,1.94,0,146.8,107,71.4,15.5
No,99,1,1,2.46,1,200.7,88,81.6,13.21
No,99,1,0,0.33,1,145.6,106,37.3,4.92
No,66,1,1,2.16,2,229.4,104,82.6,12.87
No,97,1,0,0.0,3,211.0,76,52.0,9.45
No,75,1,1,3.05,2,121.5,97,74.5,13.57
No,85,0,0,0.0,2,216.0,73,53.0,9.41
No,108,1,0,0.0,2,293.0,88,64.0,8.03
Yes,133,0,1,4.16,2,221.1,137,102.6,13.25
No,51,1,0,0.0,1,181.5,108,48.0,9.85
No,186,1,1,3.92,2,74.3,107,67.2,8.87
No,44,0,0,0.0,1,62.3,92,34.0,13.75
No,64,1,1,2.43,3,228.6,88,84.3,12.43
Yes,44,1,0,0.33,2,228.1,121,66.3,13.83
No,114,1,1,3.83,1,309.9,90,108.3,10.02
No,92,1,0,0.16,3,201.9,74,55.6,11.34
No,110,1,0,0.29,2,149.8,112,43.9,9.0
No,90,1,1,2.08,1,183.8,76,71.8,11.49
No,72,1,1,4.46,1,186.7,108,105.6,16.75
Yes,113,1,0,0.0,1,209.4,151,66.0,17.37
No,171,1,1,2.75,3,223.2,77,81.5,9.16
No,104,1,0,0.0,1,164.2,109,42.0,7.77
No,165,1,0,0.13,1,150.5,75,43.3,9.66
Yes,104,1,0,0.0,0,234.2,128,65.0,14.66
No,110,1,0,0.0,1,55.3,102,24.0,8.24
No,90,0,0,0.0,1,221.8,97,56.0,10.19
No,114,1,0,0.4,1,169.6,85,38.0,2.95
Yes,101,1,0,0.0,5,89.7,118,38.0,13.01
No,117,1,1,2.32,1,80.2,81,56.2,10.95
No,109,1,0,0.42,2,218.9,105,67.2,15.0
No,82,1,0,0.0,1,125.7,96,40.0,10.38
No,92,1,0,0.31,2,176.3,85,41.1,4.67
No,82,1,1,2.57,2,207.2,111,82.7,12.71
No,90,1,0,0.0,2,205.7,138,49.0,8.1
No,87,1,1,0.0,1,151.4,95,39.0,7.62
No,124,1,0,0.0,3,157.5,70,38.0,6.54
No,39,1,0,0.0,2,160.4,68,36.0,5.13
No,84,1,0,0.0,1,159.0,80,42.0,8.4
No,75,1,1,2.48,0,214.1,62,78.8,10.05
No,102,1,0,0.0,2,102.6,89,39.0,12.3
Yes,62,0,0,0.0,0,159.7,86,44.0,9.88
No,143,1,0,0.27,1,202.8,109,51.7,8.29
No,53,1,0,0.0,3,57.5,95,33.0,13.28
No,30,1,0,0.0,1,169.9,144,49.0,11.26
Yes,112,1,0,0.0,2,335.5,77,76.0,10.63
No,129,1,0,0.0,0,139.5,119,49.0,14.47
No,63,1,1,1.78,1,142.3,107,52.8,5.94
No,28,1,0,0.0,0,187.8,94,54.0,12.43
No,111,1,0,0.0,3,146.2,55,48.0,13.08
No,91,1,0,0.0,3,231.8,120,53.0,7.53
No,90,1,0,0.0,1,193.7,83,47.0,7.71
No,151,1,0,0.24,4,156.4,108,49.4,11.67
Yes,105,0,1,3.56,1,220.7,82,92.6,10.89
No,41,1,1,1.97,2,239.8,110,79.7,11.1
No,48,1,1,2.16,1,172.0,111,68.6,10.01
No,166,0,1,2.38,2,128.2,138,69.8,13.73
No,79,1,0,0.0,3,130.2,119,47.0,14.55
No,153,1,0,0.0,1,195.4,107,47.0,7.73
Yes,110,0,0,0.0,0,293.3,79,66.0,9.43
No,163,1,0,0.0,1,191.3,89,49.0,9.7
No,126,1,0,0.0,1,122.4,88,34.0,7.19
No,105,1,1,2.86,2,209.6,68,77.6,7.35
No,172,1,0,0.0,3,215.7,140,50.0,7.32
No,126,1,0,0.0,0,161.4,110,47.0,11.03
No,97,1,0,0.27,3,144.2,91,46.7,11.34
Yes,95,0,1,1.11,0,220.2,109,65.1,9.27
No,87,1,0,0.0,4,256.2,105,58.0,8.04
No,97,1,0,0.0,1,112.7,119,38.0,10.89
Yes,76,1,0,0.0,0,299.5,125,71.0,11.34
No,140,1,0,0.0,0,194.8,107,48.0,8.55
No,169,1,0,0.0,0,100.8,112,37.0,11.5
No,68,1,1,1.3,3,82.5,97,52.0,14.5
No,122,1,1,4.21,2,146.4,104,75.1,4.49
No,36,1,0,0.0,2,177.9,129,50.0,11.23
No,120,1,1,2.75,5,153.5,84,70.5,9.7
No,121,1,0,0.0,1,150.7,105,43.0,9.87
No,64,1,1,2.03,0,180.1,106,62.3,6.38
No,13,1,1,3.48,1,265.3,94,92.8,7.38
No,106,1,0,0.0,0,128.6,83,34.0,6.7
No,88,1,0,0.0,2,161.5,92,43.0,8.68
No,74,1,0,0.0,1,165.3,120,45.0,9.93
No,83,1,0,0.0,0,195.0,92,52.0,10.53
No,49,1,0,0.0,0,213.8,79,59.0,13.26
No,111,1,1,3.78,1,205.5,114,91.8,10.97
No,50,1,1,2.3,3,252.9,112,82.0,8.9
No,153,1,1,4.16,0,235.6,74,101.6,11.4
No,88,1,0,0.0,1,192.0,91,44.0,6.38
No,131,1,1,2.46,0,69.1,122,45.6,5.07
Yes,79,1,0,0.0,3,261.7,97,63.0,10.53
No,140,1,0,0.0,2,235.5,81,62.0,12.86
No,105,1,0,0.38,1,213.4,100,57.8,10.25
No,54,1,1,2.48,3,206.9,143,71.8,6.39
No,87,1,1,2.3,3,263.8,65,77.0,5.17
No,96,1,1,2.84,1,183.4,126,76.4,9.78
Yes,79,1,0,0.0,5,157.6,85,44.0,9.71
No,55,1,0,0.0,0,175.6,147,44.0,8.09
No,130,1,0,0.0,2,242.5,101,50.0,5.14
No,34,1,0,0.0,0,151.0,102,37.0,6.57
No,139,1,0,0.29,1,138.1,103,40.9,8.23
Yes,109,1,0,0.0,1,264.7,69,71.0,15.25
No,65,1,1,3.24,1,282.3,70,93.4,7.6
No,63,1,0,0.37,0,211.2,80,60.7,11.89
No,152,1,0,0.0,3,197.1,126,45.0,6.51
No,147,1,0,0.0,1,205.3,95,50.0,8.34
No,112,1,1,2.48,2,181.8,110,75.8,11.41
No,120,1,0,0.0,2,252.0,120,56.0,7.51
No,27,1,0,0.0,0,193.8,102,44.0,5.95
No,171,1,0,0.0,1,231.2,135,56.0,9.44
No,101,1,1,4.19,0,200.1,108,92.9,9.45
No,32,1,1,4.4,1,266.7,109,110.0,11.62
No,3,1,1,3.21,2,118.1,117,71.1,11.08
No,151,1,0,0.43,0,175.3,106,47.3,7.22
No,60,1,0,0.35,3,125.1,99,46.5,12.44
No,119,1,0,0.39,1,176.8,90,53.9,11.24
No,43,1,0,0.0,1,241.9,101,53.0,6.47
No,42,1,0,0.0,0,241.2,134,51.0,5.83
No,84,1,0,0.0,1,217.1,99,57.0,11.8
No,65,1,0,0.33,0,195.4,110,52.3,9.06
Yes,75,0,0,0.0,1,222.4,78,66.0,16.35
No,116,1,0,0.0,1,189.5,90,49.0,9.49
No,107,1,0,0.0,0,123.1,100,35.0,7.92
No,189,1,1,3.08,3,256.7,98,87.8,7.53
No,123,1,0,0.0,1,159.1,94,48.0,12.08
No,110,1,0,0.24,3,100.1,90,39.4,11.67
No,63,1,1,2.32,1,30.9,113,45.2,9.35
No,176,1,0,0.0,3,223.2,76,57.0,10.72
No,108,1,0,0.0,1,187.4,101,49.0,10.0
No,13,1,1,3.27,3,315.6,105,104.7,10.45
No,71,1,0,0.0,1,277.5,104,59.0,6.59
No,88,1,0,0.0,2,189.8,111,50.0,9.87
No,137,1,0,0.0,1,147.2,119,42.0,9.64
No,82,1,0,0.0,4,185.8,36,56.0,13.83
No,92,1,1,2.16,3,155.4,110,64.6,9.43
No,165,1,0,0.0,6,154.2,91,50.0,13.43
No,96,1,0,0.0,1,97.6,98,26.0,5.28
No,156,1,0,0.33,1,178.8,94,49.3,8.92
No,63,1,0,0.0,0,149.3,104,49.0,13.68
No,37,1,0,0.0,0,206.0,89,51.0,9.3
No,98,1,0,0.0,0,216.8,86,54.0,9.54
No,121,1,0,0.0,0,103.3,110,29.0,6.46
No,94,1,0,0.15,0,139.4,95,39.5,7.96
No,99,1,0,0.0,1,191.2,110,47.0,8.2
No,163,1,1,2.81,1,160.0,104,72.1,9.47
No,161,1,0,0.32,3,221.7,95,58.2,9.65
No,99,1,0,0.0,1,62.9,81,31.0,11.55
No,108,1,0,0.0,1,215.6,78,54.0,9.77
No,84,1,1,2.05,3,165.3,97,68.5,11.18
No,83,0,1,2.86,2,94.7,111,58.6,7.72
No,139,1,0,0.0,2,203.2,81,48.0,7.63
No,69,1,0,0.29,3,195.3,70,54.9,10.84
No,129,1,0,0.0,4,143.7,114,50.0,14.89
No,106,1,0,0.31,2,114.4,104,30.1,3.92
No,158,1,0,0.0,2,222.8,101,56.0,10.15
No,168,1,1,1.97,2,175.9,70,67.7,10.59
Yes,115,0,0,0.0,1,249.9,95,64.0,12.13
No,57,0,1,3.08,2,234.5,130,87.8,9.76
No,67,1,0,0.0,1,210.7,116,55.0,10.96
No,127,1,0,0.0,1,182.3,124,46.0,8.5
No,78,1,0,0.0,2,190.3,88,49.0,9.73
No,100,1,1,2.0,0,177.1,88,65.0,8.19
Yes,103,1,1,2.94,6,87.2,92,59.4,8.47
No,113,1,0,0.0,1,215.6,96,54.0,9.67
No,78,1,0,0.0,3,137.4,109,44.0,11.88
No,129,1,1,4.43,1,192.8,103,92.3,8.85
No,57,1,0,0.2,2,149.3,100,45.0,10.01
No,82,1,0,0.0,1,143.7,116,39.0,8.54
No,64,1,0,0.0,1,224.8,111,55.0,9.5
No,86,1,1,3.43,2,261.2,122,97.3,10.71
No,151,1,1,3.62,0,196.5,98,85.2,8.79
Yes,94,1,0,0.0,3,271.2,105,64.0,10.13
No,90,1,0,0.0,2,207.2,121,61.0,14.63
No,48,1,0,0.0,2,300.4,94,63.0,6.66
No,85,1,1,2.57,2,229.6,123,76.7,6.62
No,93,0,1,3.27,1,187.5,110,79.7,8.49
No,169,0,0,0.0,3,57.1,98,27.0,9.99
Yes,68,1,0,0.0,5,162.1,86,41.0,7.75
Yes,91,0,0,0.0,2,145.0,89,40.0,8.79
No,68,1,0,0.0,1,159.5,123,48.0,12.04
No,101,1,0,0.0,1,190.7,72,51.0,10.43
No,67,1,1,2.54,1,230.6,40,81.4,9.46
No,66,1,0,0.0,0,34.0,133,30.0,13.93
No,116,1,1,3.08,5,193.4,112,84.8,12.03
No,158,1,0,0.0,1,202.0,126,49.0,8.18
No,78,1,0,0.0,1,191.7,122,54.0,12.07
No,119,1,1,1.78,1,161.3,97,66.8,12.52
No,120,1,0,0.3,1,150.6,85,39.0,5.95
No,155,1,0,0.34,1,184.6,102,52.4,9.8
No,106,1,0,0.0,1,220.7,120,61.0,13.51
No,87,0,0,0.0,1,167.3,119,46.0,9.93
No,146,1,1,2.21,3,154.0,80,64.1,9.28
No,101,1,1,2.73,0,121.1,116,64.3,9.32
No,22,1,1,3.43,3,182.1,94,79.3,8.23
No,90,1,0,0.0,2,109.6,88,31.0,6.88
No,41,1,0,0.34,1,209.9,105,50.4,6.1
No,69,1,0,0.0,2,167.5,76,50.0,12.11
No,33,1,0,0.0,2,213.9,88,57.0,11.99
No,112,1,0,0.0,1,115.8,108,41.0,12.17
No,108,1,1,2.65,2,276.6,99,92.5,11.01
No,136,1,1,2.57,2,179.4,88,71.7,9.06
No,128,1,0,0.0,1,187.3,84,55.0,13.54
No,27,1,0,0.0,2,201.2,128,54.0,11.36
No,161,0,0,0.0,1,189.6,78,55.0,13.37
No,33,1,1,4.05,0,186.8,124,94.5,13.05
No,120,1,1,3.08,0,153.5,83,75.8,10.96
No,113,1,0,0.0,2,187.6,97,50.0,10.41
Yes,122,0,0,0.0,0,230.9,132,60.0,12.16
No,148,1,1,4.1,2,244.9,150,93.0,5.9
No,74,1,0,0.0,3,230.9,93,59.0,11.15
No,106,1,0,0.26,1,187.1,104,56.6,12.51
No,179,1,0,0.0,1,170.7,54,46.0,9.56
Yes,149,0,1,2.38,5,126.9,97,59.8,8.35
No,77,1,0,0.0,0,189.5,112,50.0,10.35
Yes,127,0,0,0.0,1,176.9,110,45.0,8.4
No,80,1,0,0.0,1,161.1,99,45.0,9.94
No,106,1,0,0.0,1,169.4,107,46.0,9.86
No,61,1,1,2.84,0,254.4,133,85.4,8.09
No,135,0,1,1.57,2,127.7,54,55.7,10.75
No,115,1,1,3.67,6,170.5,107,84.7,10.86
No,167,0,0,0.0,2,219.1,100,58.0,12.15
No,107,0,0,0.0,2,273.5,104,63.0,9.19
No,112,0,0,0.0,1,161.9,138,45.0,10.05
No,35,1,1,2.54,1,241.7,87,79.4,7.1
No,103,0,0,0.38,3,62.8,124,29.8,8.52
No,107,1,1,3.02,1,281.1,83,90.2,7.19
No,69,1,0,0.0,3,228.2,70,62.0,13.19
No,85,1,0,0.0,0,209.8,82,53.0,9.73
Yes,24,1,0,0.0,2,265.6,86,63.0,10.44
No,90,1,0,0.0,2,214.9,97,47.0,5.89
No,137,1,0,0.0,3,110.5,79,38.0,11.16
No,92,0,1,2.03,0,281.1,88,85.3,9.9
No,38,1,0,0.0,2,137.8,86,48.0,14.32
Yes,69,0,1,2.21,1,271.5,98,90.1,12.67
No,45,1,0,0.0,2,112.8,108,38.0,10.94
No,73,1,0,0.0,1,187.3,118,53.0,11.99
No,92,1,0,0.0,1,197.0,84,57.0,13.47
No,113,1,1,2.27,1,180.4,89,64.7,6.47
Yes,68,0,0,0.0,1,148.5,126,44.0,10.97
No,135,1,1,3.94,2,197.1,113,95.4,12.97
No,100,1,1,4.29,1,153.7,115,80.9,6.89
No,96,1,1,3.05,1,261.3,96,94.5,11.05
No,108,1,0,0.0,1,246.2,102,60.0,10.12
No,84,1,0,0.0,0,191.0,88,60.0,15.94
No,134,1,0,0.35,1,208.3,86,60.5,12.68
No,72,1,0,0.0,0,253.0,73,62.0,10.97
No,83,1,0,0.0,0,202.3,87,52.0,10.08
No,137,1,0,0.0,0,174.4,120,43.0,7.82
No,56,1,1,3.27,1,127.1,89,69.7,8.61
No,61,0,1,3.05,0,143.5,76,76.5,12.13
No,171,1,1,1.57,1,186.9,94,68.7,12.0
No,123,1,0,0.0,1,194.0,118,54.0,12.1
No,58,1,0,0.19,0,234.8,89,50.9,5.34
No,156,1,0,0.0,1,123.7,96,30.0,5.15
No,166,1,0,0.0,0,173.9,103,54.0,13.82
No,75,1,1,3.35,1,130.9,115,73.5,10.17
Yes,75,1,0,0.0,2,314.6,102,68.0,8.49
No,83,1,0,0.0,1,227.9,78,57.0,10.38
No,243,1,0,0.0,2,95.5,92,31.0,8.19
No,153,1,0,0.0,1,185.3,127,50.0,10.4
No,150,1,0,0.26,1,146.3,133,45.6,10.14
No,92,1,1,3.43,2,184.0,99,72.3,3.82
No,80,1,0,0.0,0,105.8,110,22.0,2.2
No,134,1,0,0.31,1,178.0,110,47.1,7.69
No,77,1,1,2.73,1,149.4,74,63.3,6.2
No,147,1,0,0.0,2,209.4,104,47.0,6.63
No,74,1,0,0.0,1,172.1,105,48.0,10.59
No,138,0,0,0.0,1,169.3,82,48.0,10.9
No,143,1,0,0.42,0,119.1,117,49.2,14.39
No,64,1,0,0.0,2,194.2,147,48.0,8.67
No,120,1,0,0.0,2,198.8,56,54.0,11.51
Yes,121,0,0,0.0,3,167.7,94,37.0,4.69
No,88,1,0,0.0,2,202.2,86,53.0,10.84
Yes,87,1,0,0.0,2,322.5,106,73.0,10.23
No,100,1,0,0.3,0,216.2,107,59.0,10.78
No,104,1,0,0.0,3,76.4,116,23.0,5.78
No,27,1,0,0.0,1,72.7,75,31.0,10.43
No,81,1,1,2.62,0,210.4,100,81.2,11.28
No,64,0,1,2.19,0,127.2,93,57.9,8.15
No,107,1,1,3.21,1,201.8,79,93.1,15.25
No,88,1,1,4.35,1,219.5,78,100.5,11.11
No,111,1,0,0.0,3,99.3,112,40.0,13.53
No,77,1,0,0.0,5,239.2,114,54.0,7.5
No,67,0,0,0.0,2,120.9,58,41.0,11.75
No,102,1,0,0.0,1,224.7,81,50.0,6.47
No,146,1,1,3.94,1,176.6,88,83.4,8.14
No,144,1,1,2.7,1,283.9,98,92.0,9.6
Yes,96,1,0,0.0,1,180.6,92,47.0,9.55
No,70,1,1,2.78,1,125.9,101,66.8,9.82
No,149,1,0,0.0,0,237.6,79,57.0,9.62
No,129,1,0,0.0,2,198.4,91,57.0,13.24
No,166,1,0,0.0,0,274.3,110,52.0,2.65
Yes,136,0,0,0.0,3,199.6,89,52.0,10.57
No,149,1,0,0.0,3,217.7,91,61.0,13.68
No,70,1,0,0.0,3,134.7,96,43.0,11.8
No,120,1,1,2.62,2,212.7,73,85.2,12.88
No,66,1,0,0.0,2,256.3,135,59.0,9.01
No,104,1,0,0.27,1,183.6,133,44.7,6.04
No,160,1,0,0.0,1,176.2,90,47.0,9.8
No,129,1,1,3.16,1,205.0,94,80.6,8.27
Yes,93,1,0,0.0,3,267.9,114,65.0,11.15
No,169,1,0,0.0,2,179.2,111,46.0,8.76
No,58,1,0,0.0,1,149.4,145,43.0,9.83
No,75,1,1,3.54,3,163.6,132,76.4,7.34
No,45,1,0,0.0,1,207.6,71,49.0,7.64
No,155,1,0,0.0,3,165.4,108,44.0,9.19
No,52,1,0,0.0,4,209.8,114,51.0,8.57
No,119,1,1,3.0,0,220.1,128,91.0,13.41
No,86,1,0,0.0,1,141.3,72,38.0,7.72
No,42,1,0,0.0,0,196.5,89,54.0,12.07
No,127,0,0,0.26,2,180.9,114,51.6,10.48
No,123,1,0,0.0,0,105.0,150,40.0,12.58
Yes,98,1,0,0.0,4,271.4,119,63.0,9.52
No,149,1,1,2.94,1,206.7,79,79.4,8.73
No,160,1,0,0.18,1,166.8,109,50.8,11.8
No,103,1,0,0.0,5,204.9,107,47.0,6.76
No,132,1,1,2.46,1,154.6,128,72.6,12.28
No,137,1,0,0.0,1,127.0,107,50.0,16.16
No,129,0,0,0.0,1,267.4,78,63.0,10.21
No,62,1,0,0.0,1,281.0,66,62.0,8.03
No,122,1,1,3.19,4,270.8,96,96.9,11.02
No,32,1,0,0.0,1,171.2,82,45.0,9.28
No,86,1,0,0.0,3,124.1,82,39.0,10.13
No,130,1,0,0.35,1,162.8,113,56.5,14.52
No,42,1,0,0.0,1,146.3,84,47.0,12.8
No,73,1,0,0.0,2,254.8,85,56.0,7.17
No,66,1,1,1.46,2,254.9,108,78.6,12.16
No,103,1,1,2.4,0,107.7,124,59.0,9.45
No,128,1,0,0.0,1,158.8,75,50.0,13.24
No,104,1,0,0.23,2,182.9,113,54.3,11.98
No,103,1,0,0.0,0,198.5,112,38.0,2.13
No,124,1,0,0.0,0,178.4,72,51.0,11.68
No,87,1,0,0.0,1,110.9,91,33.0,7.93
Yes,109,1,1,3.32,1,166.9,85,81.2,11.06
No,167,0,0,0.0,2,244.8,91,47.0,3.04
Yes,97,1,0,0.0,4,120.8,96,35.0,8.49
No,106,1,0,0.25,2,165.3,118,48.5,10.5
No,125,1,0,0.0,2,126.7,113,35.0,7.78
No,108,1,1,4.19,0,215.9,106,95.9,10.03
No,125,1,0,0.3,1,140.1,132,45.0,10.48
No,89,1,1,2.35,1,209.9,113,80.5,12.49
No,72,0,1,1.49,0,139.8,114,50.9,6.91
Yes,23,1,0,0.0,2,321.6,107,77.0,12.58
No,149,1,0,0.0,7,166.6,61,47.0,10.94
No,73,1,0,0.0,0,214.2,90,54.0,9.84
Yes,61,1,0,0.0,1,260.0,123,63.0,10.53
Yes,161,1,0,0.16,4,191.9,113,40.6,3.55
No,73,1,0,0.0,0,213.0,95,53.0,9.44
No,118,1,1,4.56,1,118.1,83,75.6,5.48
No,23,1,0,0.0,6,190.2,89,47.0,8.32
No,127,1,1,1.38,0,82.2,95,41.8,8.17
No,42,1,1,2.19,0,163.8,80,64.9,8.89
Yes,118,1,0,0.0,5,267.8,145,73.0,15.82
No,45,1,0,0.0,2,159.8,91,38.0,6.02
No,50,1,1,2.86,1,214.3,129,90.6,14.49
Yes,179,1,0,0.0,0,287.3,123,74.0,14.4
No,152,1,0,0.22,2,101.2,122,32.2,7.08
No,105,1,0,0.0,2,102.8,74,42.0,14.09
No,72,1,0,0.0,0,109.1,97,29.0,5.79
No,52,1,0,0.0,1,215.9,67,56.0,10.85
No,125,1,0,0.0,1,203.4,110,46.0,6.44
No,143,1,0,0.29,1,110.1,113,36.9,8.45
No,65,1,0,0.0,1,111.0,51,38.0,10.99
No,80,1,0,0.0,1,239.9,121,53.0,7.12
No,1,1,0,0.0,1,144.8,107,35.0,5.63
No,60,1,0,0.0,1,135.4,134,41.0,10.3
No,43,1,0,0.0,1,84.2,134,22.0,4.04
No,143,1,0,0.0,0,209.1,127,45.0,5.31
No,81,1,1,3.08,0,130.1,117,69.8,9.8
No,205,1,1,2.11,2,175.8,139,65.1,7.75
No,24,1,0,0.0,1,241.9,104,54.0,7.26
No,74,1,0,0.0,0,136.7,106,43.0,11.43
No,77,1,0,0.0,1,67.7,68,29.0,9.79
No,74,1,0,0.0,1,200.4,87,61.0,15.46
Yes,74,0,0,0.0,1,125.8,103,40.0,10.39
No,200,1,0,0.0,1,128.2,87,34.0,6.66
No,86,1,0,0.0,4,226.3,88,58.0,11.15
No,91,1,1,2.48,0,162.3,107,72.8,11.7
No,76,1,0,0.0,2,224.4,121,51.0,7.4
No,130,1,0,0.0,1,120.5,127,37.0,9.49
No,56,1,0,0.32,2,91.1,90,34.2,8.97
No,117,1,0,0.0,0,168.8,137,50.0,12.07
No,63,1,0,0.36,2,153.5,81,54.6,14.37
No,126,1,0,0.0,0,226.2,88,51.0,7.02
No,132,1,0,0.31,1,191.9,107,54.1,10.35
Yes,81,1,1,2.48,4,167.9,147,69.8,9.54
No,122,1,0,0.0,2,180.0,88,43.0,7.25
Yes,46,1,0,0.0,2,257.4,67,66.0,13.06
No,150,1,1,2.97,1,174.4,75,74.7,8.5
No,99,1,0,0.0,1,159.7,83,41.0,7.77
No,87,1,0,0.0,1,237.2,124,60.0,11.13
No,108,1,0,0.0,1,103.0,129,39.0,12.12
No,101,1,0,0.0,4,153.8,89,47.0,11.7
No,53,1,0,0.22,3,205.1,86,51.2,8.03
No,132,1,1,2.32,2,175.7,93,69.2,9.36
No,158,1,0,0.0,2,155.9,123,46.0,11.21
No,114,1,1,2.78,0,154.4,109,73.8,11.07
No,77,1,1,1.92,2,209.7,73,71.2,9.18
No,144,0,0,0.27,0,150.0,69,52.7,14.3
No,91,1,1,3.32,3,232.4,97,89.2,9.3
No,58,1,0,0.0,2,165.4,100,38.0,5.79
No,5,1,0,0.0,3,199.2,106,50.0,9.37
No,97,1,0,0.29,0,217.6,81,67.9,16.03
No,107,1,0,0.47,3,212.1,95,53.7,7.51
No,142,1,1,2.92,1,154.0,75,70.2,8.29
No,9,1,1,3.59,1,193.8,130,86.9,10.13
No,73,1,0,0.0,0,175.4,130,51.0,12.41
Yes,48,1,1,4.24,2,152.0,63,90.4,12.94
No,43,1,0,0.36,0,230.2,147,58.6,9.34
Yes,122,1,1,3.65,1,174.9,103,87.5,12.41
No,93,1,0,0.42,0,190.2,68,59.2,13.11
No,85,1,0,0.0,1,176.4,122,50.0,11.25
No,59,1,0,0.28,3,160.9,95,51.8,12.56
No,87,1,0,0.29,1,228.7,90,55.9,8.15
No,137,1,0,0.26,0,144.0,90,42.6,9.08
No,21,1,1,2.57,6,135.9,90,72.7,13.55
Yes,129,1,0,0.0,0,334.3,118,74.0,9.61
No,104,1,0,0.0,0,130.5,77,34.0,6.56
Yes,93,1,1,3.19,4,134.2,105,68.9,8.13
Yes,63,1,0,0.0,4,278.0,102,70.0,13.32
No,161,1,0,0.0,0,105.4,70,37.0,10.74
No,50,1,0,0.0,3,188.9,94,50.0,10.2
No,103,1,1,1.86,1,111.8,85,58.6,11.98
No,84,1,1,3.51,1,159.1,106,75.1,7.49
